[2026-04-23 09:51:53] Queue watcher started. Waiting on PID 20049 for current parity+NoPE+Ponder run.
[2026-04-23 11:24:54] Detected current NoPE run has finished. Launching parity+WPE-once+Ponder with n_steps=20.
Launching WPE-once Ponder run: {'task': 'parity', 'output_root': '/data/yizhou/looped-tf-length-generalization/models/wpe_once_baselines', 'seed': 42, 'beta': 0.01, 'prior_lambda': 0.2, 'dynamic_n': False, 'n_steps': 20, 'use_wpe': True, 'wpe_mode': 'once', 'use_rope': False}

  0%|          | 0/100001 [00:00<?, ?it/s]
loss=2.2107 rec=2.2054 kl=0.5324 n_points=2:   0%|          | 0/100001 [00:01<?, ?it/s]
loss=2.2107 rec=2.2054 kl=0.5324 n_points=2:   0%|          | 1/100001 [00:01<41:30:12,  1.49s/it]
loss=1.8229 rec=1.8177 kl=0.5242 n_points=2:   0%|          | 1/100001 [00:01<41:30:12,  1.49s/it]
loss=0.0008 rec=0.0008 kl=0.0018 n_points=2:   0%|          | 71/100001 [00:06<1:41:10, 16.46it/s]
loss=0.0008 rec=0.0008 kl=0.0018 n_points=2:   0%|          | 73/100001 [00:06<1:40:22, 16.59it/s]
loss=0.0008 rec=0.0008 kl=0.0015 n_points=2:   0%|          | 73/100001 [00:06<1:40:22, 16.59it/s]
loss=0.0008 rec=0.0007 kl=0.0015 n_points=2:   0%|          | 73/100001 [00:06<1:40:22, 16.59it/s]
loss=0.0008 rec=0.0007 kl=0.0015 n_points=2:   0%|          | 75/100001 [00:06<1:41:21, 16.43it/s]
loss=0.0008 rec=0.0007 kl=0.0015 n_points=2:   0%|          | 75/100001 [00:06<1:41:21, 16.43it/s]
loss=0.0008 rec=0.0007 kl=0.0016 n_points=2:   0%|          | 75/100001 [00:06<1:41:21, 16.43it/s]
loss=0.0008 rec=0.0007 kl=0.0016 n_points=2:   0%|          | 77/100001 [00:06<1:41:06, 16.47it/s]
loss=0.0007 rec=0.0007 kl=0.0016 n_points=2:   0%|          | 77/100001 [00:06<1:41:06, 16.47it/s]
loss=0.0007 rec=0.0007 kl=0.0017 n_points=2:   0%|          | 77/100001 [00:06<1:41:06, 16.47it/s]
loss=0.0007 rec=0.0007 kl=0.0017 n_points=2:   0%|          | 79/100001 [00:06<1:42:31, 16.24it/s]
loss=0.0007 rec=0.0007 kl=0.0017 n_points=2:   0%|          | 79/100001 [00:06<1:42:31, 16.24it/s]
loss=0.0007 rec=0.0007 kl=0.0016 n_points=2:   0%|          | 79/100001 [00:06<1:42:31, 16.24it/s]
loss=0.0007 rec=0.0007 kl=0.0016 n_points=2:   0%|          | 81/100001 [00:06<1:41:26, 16.42it/s]
loss=0.0007 rec=0.0007 kl=0.0016 n_points=2:   0%|          | 81/100001 [00:06<1:41:26, 16.42it/s]
loss=0.0007 rec=0.0007 kl=0.0015 n_points=2:   0%|          | 81/100001 [00:06<1:41:26, 16.42it/s]
loss=0.0007 rec=0.0007 kl=0.0015 n_points=2:   0%|          | 83/100001 [00:06<1:41:33, 16.40it/s]
loss=0.0007 rec=0.0007 kl=0.0013 n_points=2:   0%|          | 83/100001 [00:06<1:41:33, 16.40it/s]
loss=0.0007 rec=0.0007 kl=0.0011 n_points=2:   0%|          | 83/100001 [00:06<1:41:33, 16.40it/s]
loss=0.0007 rec=0.0007 kl=0.0011 n_points=2:   0%|          | 85/100001 [00:06<1:42:26, 16.25it/s]
loss=0.0007 rec=0.0006 kl=0.0008 n_points=2:   0%|          | 85/100001 [00:06<1:42:26, 16.25it/s]
loss=0.0006 rec=0.0006 kl=0.0006 n_points=2:   0%|          | 85/100001 [00:06<1:42:26, 16.25it/s]
loss=0.0006 rec=0.0006 kl=0.0006 n_points=2:   0%|          | 87/100001 [00:06<1:41:30, 16.41it/s]
loss=0.0006 rec=0.0006 kl=0.0005 n_points=2:   0%|          | 87/100001 [00:07<1:41:30, 16.41it/s]
loss=0.0006 rec=0.0006 kl=0.0003 n_points=2:   0%|          | 87/100001 [00:07<1:41:30, 16.41it/s]
loss=0.0006 rec=0.0006 kl=0.0003 n_points=2:   0%|          | 89/100001 [00:07<1:40:49, 16.52it/s]
loss=0.0006 rec=0.0006 kl=0.0003 n_points=2:   0%|          | 89/100001 [00:07<1:40:49, 16.52it/s]
loss=0.0006 rec=0.0006 kl=0.0002 n_points=2:   0%|          | 89/100001 [00:07<1:40:49, 16.52it/s]
loss=0.0006 rec=0.0006 kl=0.0002 n_points=2:   0%|          | 91/100001 [00:07<1:40:25, 16.58it/s]
loss=0.0006 rec=0.0006 kl=0.0002 n_points=2:   0%|          | 91/100001 [00:07<1:40:25, 16.58it/s]
loss=0.0006 rec=0.0006 kl=0.0002 n_points=2:   0%|          | 91/100001 [00:07<1:40:25, 16.58it/s]
loss=0.0006 rec=0.0006 kl=0.0002 n_points=2:   0%|          | 93/100001 [00:07<1:40:28, 16.57it/s]
loss=0.0006 rec=0.0006 kl=0.0002 n_points=2:   0%|          | 93/100001 [00:07<1:40:28, 16.57it/s]
loss=0.0006 rec=0.0006 kl=0.0002 n_points=2:   0%|          | 93/100001 [00:07<1:40:28, 16.57it/s]
loss=0.0006 rec=0.0006 kl=0.0002 n_points=2:   0%|          | 95/100001 [00:07<1:40:10, 16.62it/s]
loss=0.0006 rec=0.0006 kl=0.0002 n_points=2:   0%|          | 95/100001 [00:07<1:40:10, 16.62it/s]
loss=0.0006 rec=0.0006 kl=0.0002 n_points=2:   0%|          | 95/100001 [00:07<1:40:10, 16.62it/s]
loss=0.0006 rec=0.0006 kl=0.0002 n_points=2:   0%|          | 97/100001 [00:07<1:40:10, 16.62it/s]
loss=0.0006 rec=0.0006 kl=0.0002 n_points=2:   0%|          | 97/100001 [00:07<1:40:10, 16.62it/s]
loss=0.0006 rec=0.0006 kl=0.0003 n_points=2:   0%|          | 97/100001 [00:07<1:40:10, 16.62it/s]
loss=0.0006 rec=0.0006 kl=0.0003 n_points=2:   0%|          | 99/100001 [00:07<1:39:51, 16.67it/s]
loss=0.0006 rec=0.0006 kl=0.0003 n_points=2:   0%|          | 99/100001 [00:07<1:39:51, 16.67it/s]
loss=0.0006 rec=0.0006 kl=0.0003 n_points=2:   0%|          | 99/100001 [00:07<1:39:51, 16.67it/s]
loss=0.0006 rec=0.0006 kl=0.0003 n_points=2:   0%|          | 101/100001 [00:07<1:39:53, 16.67it/s]
loss=0.0006 rec=0.0006 kl=0.0004 n_points=2:   0%|          | 101/100001 [00:07<1:39:53, 16.67it/s]
loss=0.0006 rec=0.0006 kl=0.0005 n_points=2:   0%|          | 101/100001 [00:07<1:39:53, 16.67it/s]
loss=0.0006 rec=0.0006 kl=0.0005 n_points=2:   0%|          | 103/100001 [00:07<1:40:44, 16.53it/s]
loss=0.0006 rec=0.0006 kl=0.0005 n_points=2:   0%|          | 103/100001 [00:07<1:40:44, 16.53it/s]
loss=0.0006 rec=0.0005 kl=0.0005 n_points=2:   0%|          | 103/100001 [00:08<1:40:44, 16.53it/s]
loss=0.0006 rec=0.0005 kl=0.0005 n_points=2:   0%|          | 105/100001 [00:08<1:40:12, 16.61it/s]
loss=0.0006 rec=0.0006 kl=0.0004 n_points=2:   0%|          | 105/100001 [00:08<1:40:12, 16.61it/s]
loss=0.0006 rec=0.0005 kl=0.0004 n_points=2:   0%|          | 105/100001 [00:08<1:40:12, 16.61it/s]
loss=0.0006 rec=0.0005 kl=0.0004 n_points=2:   0%|          | 107/100001 [00:08<1:39:49, 16.68it/s]
loss=0.0005 rec=0.0005 kl=0.0005 n_points=2:   0%|          | 107/100001 [00:08<1:39:49, 16.68it/s]
loss=0.0005 rec=0.0005 kl=0.0004 n_points=2:   0%|          | 107/100001 [00:08<1:39:49, 16.68it/s]
loss=0.0005 rec=0.0005 kl=0.0004 n_points=2:   0%|          | 109/100001 [00:08<1:40:11, 16.62it/s]
loss=0.0005 rec=0.0005 kl=0.0004 n_points=2:   0%|          | 109/100001 [00:08<1:40:11, 16.62it/s]
loss=0.0005 rec=0.0005 kl=0.0004 n_points=2:   0%|          | 109/100001 [00:08<1:40:11, 16.62it/s]
